epoch,datetime_utc,open,high,low,close
1766304000,2025-12-21 08:00:00,238428.12,238794.92,234421.66,234918.52
1766318400,2025-12-21 12:00:00,234936.54,237306.1,231952.53,237063.31
1766332800,2025-12-21 16:00:00,237059.29,239902.21,236151.02,237687.44
1766347200,2025-12-21 20:00:00,237687.08,238765.95,236574.02,238417.22
1766361600,2025-12-22 00:00:00,238429.86,238904.01,233574.52,234372.4
1766376000,2025-12-22 04:00:00,234384.78,234564.99,231961.52,232712.93
1766390400,2025-12-22 08:00:00,232715.45,234655.04,230689.73,233897.98
1766404800,2025-12-22 12:00:00,233900.51,234085.22,229212.46,230320.14
1766419200,2025-12-22 16:00:00,230314.7,231623.14,228607.93,231092.32
1766433600,2025-12-22 20:00:00,231105.61,234618.15,230550.44,231614.74
1766448000,2025-12-23 00:00:00,231600.37,231738.49,227811.73,229831.78
1766462400,2025-12-23 04:00:00,229831.06,230334.94,227024.17,228836.32
1766476800,2025-12-23 08:00:00,228805.4,233275.33,227825.99,232834.9
1766491200,2025-12-23 12:00:00,232836.02,234555.7,231225.68,233422.8
1766505600,2025-12-23 16:00:00,233385.54,233800.92,231374.35,231636.32
1766520000,2025-12-23 20:00:00,231650.5,234708.66,230808.7,233702.75
1766534400,2025-12-24 00:00:00,233689.45,235606.9,232920.15,234782.94
1766548800,2025-12-24 04:00:00,234765.99,235490.57,231895.63,235007.43
1766563200,2025-12-24 08:00:00,234993.58,237870.86,234674.3,236511.22
1766577600,2025-12-24 12:00:00,236543.08,237821.59,232384.28,232898.4
1766592000,2025-12-24 16:00:00,232878.14,235069.89,231605.33,234282.54
1766606400,2025-12-24 20:00:00,234304.48,238071.4,234156.07,237402.11
1766620800,2025-12-25 00:00:00,237423.21,238672.27,233986.83,235308.08
1766635200,2025-12-25 04:00:00,235322.54,238136.33,235322.29,237574.72
1766649600,2025-12-25 08:00:00,237575.93,241204.22,236929.44,239731.53
1766664000,2025-12-25 12:00:00,239724.36,241238.16,238128.89,240519.2
1766678400,2025-12-25 16:00:00,240559.41,242323.06,239431.3,240546.25
1766692800,2025-12-25 20:00:00,240534.39,242059.06,238878.14,241553.82
1766707200,2025-12-26 00:00:00,241540.03,242106.22,237736.68,238431.69
1766721600,2025-12-26 04:00:00,238429.23,238620.4,236095.43,236537.75
1766736000,2025-12-26 08:00:00,236529.64,239030.93,235977.31,238222.6
1766750400,2025-12-26 12:00:00,238253.32,238882.14,235774.44,236738.27
1766764800,2025-12-26 16:00:00,236719.25,238955.89,236158.56,236895.8
1766779200,2025-12-26 20:00:00,236920.33,239259.85,236181.46,239026.96
1766793600,2025-12-27 00:00:00,239001.81,241064.38,236941.93,237830.96
1766808000,2025-12-27 04:00:00,237821.34,238296.33,233075.95,235277.95
1766822400,2025-12-27 08:00:00,235225.44,237971.55,234472.15,236435.13
1766836800,2025-12-27 12:00:00,236446.84,238352.7,235359.5,236372.28
1766851200,2025-12-27 16:00:00,236359.76,236854.05,233492.96,233619.03
